index_id,index_name,snapshot_date,coverage_type,constituent_count,weight_sum_percent,hhi_decimal,hhi_percent_points,effective_n,top3_weight_percent,top5_weight_percent,top10_weight_percent,shannon_entropy,theil_concentration,sector_hhi_decimal,sector_hhi_percent_points,data_quality_flag,notes
NIFTY50,Nifty 50,2026-04-30,top10_only,10,53.68,0.03611172,361.1172,27.6918,27.72,37.26,53.68,1.5066,0.7960,0.16387733,1638.7733,partial_constituents,"Top-10 constituent metrics are partial metrics because factsheet gives only top-10 constituent weights. Sector HHI uses full sector weights from factsheet."
NIFTYNEXT50,Nifty Next 50,2026-04-30,top10_only,10,31.42,0.00997776,99.7776,100.2229,10.54,17.20,31.42,1.0856,1.2170,0.11606448,1160.6448,partial_constituents,"Top-10 constituent metrics are partial metrics because factsheet gives only top-10 constituent weights. Sector HHI uses full sector weights from factsheet."
NIFTY100,Nifty 100,2026-04-30,top10_only,10,43.85,0.02409829,240.9829,41.4967,22.64,30.44,43.85,1.3194,0.9832,0.14511233,1451.1233,partial_constituents,"Top-10 constituent metrics are partial metrics because factsheet gives only top-10 constituent weights. Sector HHI uses full sector weights from factsheet."
NIFTY500,Nifty 500,2026-04-30,top10_only,10,30.49,0.01164037,116.4037,85.9079,15.73,21.15,30.49,1.0284,1.2742,0.13084940,1308.4940,partial_constituents,"Top-10 constituent metrics are partial metrics because factsheet gives only top-10 constituent weights. Sector HHI uses full sector weights from factsheet."
NIFTYBANK,Nifty Bank,2026-04-30,top10_only,10,86.59,0.09420199,942.0199,10.6155,41.94,61.54,86.59,2.0149,0.2877,1.00000000,10000.0000,partial_constituents,"Top-10 constituent metrics are partial because factsheet gives top-10 weights. Sector HHI is 10000 because this is a single-sector index."
NIFTYIT,Nifty IT,2026-04-30,full_constituents,10,99.98,0.16024612,1602.4612,6.2404,60.02,77.66,99.98,2.0407,0.2619,1.00000000,10000.0000,ok,"Factsheet lists all 10 constituents. Sector HHI is 10000 because this is a single-sector index."
NIFTYFMCG,Nifty FMCG,2026-04-30,top10_only,10,91.68,0.14608192,1460.8192,6.8455,57.40,71.08,91.68,1.9166,0.3860,1.00000000,10000.0000,partial_constituents,"Top-10 constituent metrics are partial because factsheet gives top-10 weights. Sector HHI is 10000 because this is a single-sector index."
NIFTYAUTO,Nifty Auto,2026-04-30,top10_only,10,89.06,0.11418614,1141.8614,8.7576,48.61,64.16,89.06,1.9924,0.3102,1.00000000,10000.0000,partial_constituents,"Top-10 constituent metrics are partial because factsheet gives top-10 weights. Sector HHI is 10000 because this is a single-sector index."
